noun_eng;noun_spa;gender;
time;tiempo;masculine;
man;hombre;masculine;
way;camino;masculine;
people;gente;feminine;
life;vida;feminine;
day;día;masculine;
work;trabajo;masculine;
call;llamada;feminine;
night;noche;feminine;
home;hogar;masculine;
thought;pensamiento;masculine;
money;dinero;masculine;
name;nombre;masculine;
father;padre;masculine;
guy;chico;masculine;
place;lugar;masculine;
feel;sentimiento;masculine;
girl;chica;feminine;
house;casa;feminine;
left;izquierda;feminine;
right;derecha;feminine;
mother;madre;feminine;
course;curso;masculine;
dad;papá;masculine;
world;mundo;masculine;
son;hijo;masculine;
woman;mujer;feminine;
mind;mente;feminine;
head;cabeza;feminine;
mom;mamá;feminine;
boy;niño;masculine;
job;trabajo;masculine;
family;familia;feminine;
room;habitación;feminine;
brother;hermano;masculine;
head;cabeza;feminine;
idea;idea;feminine;
wife;esposa;feminine;
start;inicio;masculine;
door;puerta;feminine;
bit;pedazo;masculine;
matter;materia;feminine;
run;carrera;feminine;
school;escuela;feminine;
play;juego;masculine;
problem;problema;masculine;
end;fin;masculine;
phone;teléfono;masculine;
hope;esperanza;feminine;
excuse;excusa;feminine;
face;cara;feminine;
turn;turno;masculine;
police;policía;feminine;
heart;corazón;masculine;
worry;preocupación;feminine;
business;negocio;masculine;
watch;reloj;masculine;
year;año;masculine;
hand;mano;feminine;
doctor;médico;masculine;
sit;sentada;feminine;
second;segundo;masculine;
pay;pago;masculine;
water;agua;any;
death;muerte;feminine;
stuff;cosas;feminine;
minute;minuto;masculine;
part;parte;feminine;
person;persona;feminine;
drink;bebida;feminine;
change;cambio;masculine;
hit;golpe;masculine;
check;cheque;masculine;
music;música;feminine;
inside;interior;masculine;
sleep;sueño;masculine;
deal;acuerdo;masculine;
point;punto;masculine;
body;cuerpo;masculine;
chance;oportunidad;feminine;
close;cierre;masculine;
party;fiesta;feminine;
daughter;hija;feminine;
word;palabra;feminine;
fun;diversión;feminine;
number;número;masculine;
story;historia;feminine;
set;conjunto;masculine;
wish;deseo;masculine;
husband;esposo;masculine;
fire;fuego;masculine;
fight;pelea;feminine;
rest;descanso;masculine;
moment;momento;masculine;
week;semana;feminine;
stand;soporte;masculine;
game;juego;masculine;
cut;corte;masculine;
sister;hermana;feminine;
side;lado;masculine;
blood;sangre;feminine;
truth;verdad;feminine;
lady;dama;feminine;
shot;disparo;masculine;
war;guerra;feminine;
break;ruptura;feminine;
walk;paseo;masculine;
reason;razón;feminine;
trouble;problema;masculine;
city;ciudad;feminine;
town;pueblo;masculine;
trust;confianza;feminine;
question;pregunta;feminine;
office;oficina;feminine;
half;mitad;feminine;
welcome;bienvenida;feminine;
couple;pareja;feminine;
hurry;prisa;feminine;
honey;cariño;masculine;
power;poder;masculine;
bed;cama;feminine;
front;frente;masculine;
answer;respuesta;feminine;
gun;pistola;feminine;
